蔡英文對阿富汗機場恐攻表態　林濁水質疑：總統準備收容難民了嗎？,2021/08/27,21:17,https://tw.appledaily.com/home//politics/20210827/NQNMGK3GI5A6XPJ43DLIU2CJDE/
獨家｜網拍模大尺度毛片遭盜用　無良出版社敗訴至今分文未賠,2021/08/27,21:00,https://tw.appledaily.com/home//local/20210827/KZKE6MNSOVHN5L7MCAMNGJI2UU/
教小學生弟子規團體　美女醫驚呆：簡直邪惡勢力大集結,2021/08/27,19:42,https://tw.appledaily.com/home//life/20210827/3ULDK5I3ORBU3CZONN4HKLSZUY/
陳時中證實BNT現貨是台積電告知　曝郭董赴歐秘密任務「確保9月貨源不被搶」,2021/08/27,19:06,https://tw.appledaily.com/home//life/20210827/NJNXNSZP7VANPKRURZYUVPXNGU/
154走私貓安樂死！「儘量3隻一籠」對話曝光　寵物業者遭羈押,2021/08/27,18:49,https://tw.appledaily.com/home//local/20210827/FF5WOLLLXZHRNE5SAUSWGCXTQE/
藍營直搗民進黨中央黨部前「開講」　中正一分局明交管疏導車流,2021/08/27,18:48,https://tw.appledaily.com/home//local/20210827/6B7YH5T4QJERTMS4ANWHBZFKLM/
緊急到貨！　我國自購26.5萬劑AZ今中午抵桃機,2021/08/27,17:52,https://tw.appledaily.com/home//local/20210827/HUAD6QAS4NAGRCNDVFS24ZLWBQ/
單飛比較紅！王嘉爾富比士中國名人榜登第10名　組新團洩初心,2021/08/27,17:44,https://tw.appledaily.com/home//entertainment/20210827/IMGP2ZYWYJAXFEFAOFCIK3LVIQ/
陳時中以「訂西裝」比喻「復必泰」　柯P：死800多人才發現冬天沒衣服穿？,2021/08/27,17:08,https://tw.appledaily.com/home//life/20210827/MBGENW2GPBE3PISK3WE3GFTWNQ/
打高端後猝逝怪這些原因　趙少康：那台灣逾半數人口接種可能致死,2021/08/27,16:12,https://tw.appledaily.com/home//politics/20210827/RWQEJDESBJDBLKKXTKRNEFUNKY/
最年輕米其林星級外場｜臉盲歐宛臻記常客靠這一招　加薪? 頤宮這樣說,2021/08/27,15:22,https://tw.appledaily.com/home//supplement/20210827/KR7Q5IBYCRBITJWFKXYH74IESU/
阿富汗喀布爾機場遭炸彈攻擊　蔡英文嚴正譴責恐攻！吳釗燮致電AIT慰問,2021/08/27,14:30,https://tw.appledaily.com/home//politics/20210827/JL7J7KCSNVBKVAMXREPALRBTCU/
反萊豬金剛車成防疫破口　羅智強自首！請把我和蔡英文通通關起來,2021/08/27,14:06,https://tw.appledaily.com/home//local/20210827/EQDGZG6YPRF33LKOBL2H27HFAQ/
羅智強警局自首！爆總統座車才是破口「也把蔡英文關起來」　民進黨怒轟作秀！,2021/08/27,13:53,https://tw.appledaily.com/home//politics/20210827/72IOPU22KRDQZMYJMBINRKLNGU/
賴清德接種高端！開心比讚還笑稱「我早上有吃飯」,2021/08/27,13:03,https://tw.appledaily.com/home//politics/20210827/XMOXB44EZNAGZG4MQUISR4P3JA/
自購26.5萬劑AZ抵台　蔡英文籲朝野放下政治成見「過度算計損人不利己」,2021/08/27,13:02,https://tw.appledaily.com/home//politics/20210827/BZRPDKVOMFGAJJH3DSCWTPK6GA/
這遊戲機吧？GM在IG貼圖說是方向盤　車迷們看了都驚呆,2021/08/27,12:27,https://tw.appledaily.com/home//gadget/20210827/NPCGNRYBWZAWNOUL4NMBA24Y3E/
